EXP GPIO,,,
J18 Header,Pin,Net,i.MX8MP Package
1,VCC_EXT_3.3,n/a,
2,VDD_5V,n/a,
3,EXP_GPIO_IO02,I2C3_SDA_3V3,AJ6
4,VDD_5V,n/a,
5,EXP_GPIO_IO03,I2C3_SCL_3V3,AJ7
6,GND,n/a,
7,EXP_GPIO_IO04,UART3_CTS,AD20
8,EXP_GPIO_IO14,UART3_TXD,AC20
9,GND,n/a,
10,EXP_GPIO_IO15,UART3_RXD,AF20
11,EXP_GPIO_IO17,UART3_RTS,AE20
12,EXP_GPIO_IO18,GPIO1_IO01,E8
13,EXP_GPIO_IO27,GPIO1_IO08,A8
14,GND,n/a,
15,EXP_GPIO_IO22,GPIO1_IO11,D8
16,EXP_GPIO_IO23,GPIO1_IO07,F6
17,VCC_EXT_3.3,n/a,
18,EXP_GPIO_IO24,GPIO1_IO12,A5
19,ECSPI2_MOSI_GPIO_IO10,n/a,
20,GND,n/a,
21,ECSPI2_MISO_GPIO_IO09,n/a,
22,EXP_GPIO_IO25,GPIO1_IO15,B5
23,ECSPI2_SCLK_GPIO_IO11,n/a,
24,ECSPI2_SS0_GPIO_IO08,n/a,
25,GND,n/a,
26,EXP_GPIO_IO07,SAI1_MCLK,AE12
27,EXP_GPIO_IO00,GPIO1_IO00,A7
28,EXP_GPIO_IO01,GPIO1_IO09,B8
29,EXP_GPIO_IO05,SAI5_MCLK,AF14
30,GND,n/a,
31,EXP_GPIO_IO06,GPIO1_IO06,A3
32,EXP_GPIO_IO12,SAI5_RXFS,AC14
33,EXP_GPIO_IO13,GPIO1_IO05,B4
34,GND,n/a,
35,EXP_GPIO_IO19,SAI5_RXD3,AE14
36,EXP_GPIO_IO16,SAI5_RXD2,AF16
37,EXP_GPIO_IO26,SAI5_RXD1,AD16
38,EXP_GPIO_IO20,SAI5_RXD0,AE16
39,GND,n/a,
40,EXP_GPIO_IO21,SAI5_RXC,AD14
